Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1132327-annotations
UN Peacebuilding Fund,,2024,133556350,
UN Women,,2021,154887630,
UN Women,,2022,167105570,
UN Women,,2023,163651310,
UNAIDS,,2005,151832110,
UNAIDS,,2006,216162640,
UNAIDS,,2007,215088930,
UNAIDS,,2008,222361120,
UNAIDS,,2009,268093330,
UNAIDS,,2010,268312720,
UNAIDS,,2011,273498850,
UNAIDS,,2012,255302690,
UNAIDS,,2013,256519170,
UNAIDS,,2014,248436900,
UNAIDS,,2015,277977280,
UNAIDS,,2016,215853490,
UNAIDS,,2017,188209760,
UNAIDS,,2018,207239820,
UNAIDS,,2019,147420820,
UNAIDS,,2020,139184060,
UNAIDS,,2021,89731460,
UNAIDS,,2022,97408870,
UNAIDS,,2023,90099650,
UNAIDS,,2024,16883598,
UNDP,,1968,1678430200,
UNDP,,1969,1168271500,
UNDP,,1970,1369531100,
UNDP,,1971,1531397100,
UNDP,,1972,1551049500,
UNDP,,1973,1311012400,
UNDP,,1974,1242460200,
UNDP,,1975,1605152800,
UNDP,,1976,1391722100,
UNDP,,1977,1164523100,
UNDP,,1978,1314731500,
UNDP,,1979,1426504600,
UNDP,,1980,1670673300,
UNDP,,1981,2049758100,
UNDP,,1982,1899590400,
UNDP,,1983,1635281000,
UNDP,,1984,1608391700,
UNDP,,1985,1709899600,
UNDP,,1986,1700800600,
UNDP,,1987,1499365500,
UNDP,,1988,1621811700,
UNDP,,1989,1718290200,
UNDP,,1990,1462922000,
UNDP,,1991,1438933800,
UNDP,,1992,1167024800,
UNDP,,1993,1026462800,
UNDP,,1994,791511550,
UNDP,,1995,640880640,
UNDP,,1996,755979900,
UNDP,,1997,968337150,
UNDP,,1998,887787200,
UNDP,,1999,735602940,
UNDP,,2000,585919400,
UNDP,,2001,449358270,
UNDP,,2002,423608420,
UNDP,,2003,406624540,
UNDP,,2004,475164860,
UNDP,,2005,492703900,
UNDP,,2006,522204640,
UNDP,,2007,489335650,
UNDP,,2008,527260320,
UNDP,,2009,695544600,
UNDP,,2010,657298400,
UNDP,,2011,504438300,
UNDP,,2012,509922240,
UNDP,,2013,484317020,
UNDP,,2014,477882980,
UNDP,,2015,484213860,
UNDP,,2016,438951100,
UNDP,,2017,394957380,
UNDP,,2018,329881600,
UNDP,,2019,412560130,
UNDP,,2020,430014300,
UNDP,,2021,412119230,
UNDP,,2022,453443620,
UNECE,,2008,11493181,
UNECE,,2009,14186232,
UNECE,,2010,12981113,
UNECE,,2011,12867745,
UNECE,,2012,12956976,
UNECE,,2013,14877693,
UNECE,,2014,14550521,
UNECE,,2015,15642376,
UNECE,,2016,16258595,
UNECE,,2017,16347605,
UNECE,,2024,1551586,
UNEP,,2015,144194430,
UNEP,,2016,92230920,
UNEP,,2022,217495740,
UNEP,,2023,184983100,
UNEP,,2024,198751330,
UNFPA,,1977,239221660,
UNFPA,,1979,408969060,
UNFPA,,1980,378517250,
UNFPA,,1981,334776740,
UNFPA,,1982,301156220,
UNFPA,,1983,323330560,
UNFPA,,1984,320707200,
UNFPA,,1985,343353920,
UNFPA,,1986,223356000,
UNFPA,,1987,203192620,
UNFPA,,1988,228649040,
UNFPA,,1989,275933800,
UNFPA,,1990,286697950,
UNFPA,,1991,262724580,
UNFPA,,1992,185938420,
UNFPA,,1993,200607470,
UNFPA,,1994,286950900,
UNFPA,,1995,292640640,
UNFPA,,1996,292691400,
UNFPA,,1997,311899840,
UNFPA,,1998,313674500,
UNFPA,,1999,267449890,
UNFPA,,2000,199935310,
UNFPA,,2001,496011740,
UNFPA,,2002,478340700,
UNFPA,,2003,371506300,
UNFPA,,2004,248597630,
UNFPA,,2005,248544620,
UNFPA,,2006,254014130,
UNFPA,,2007,241064450,
UNFPA,,2008,290883870,
UNFPA,,2009,382200930,
UNFPA,,2010,342487400,
UNFPA,,2011,323290530,
UNFPA,,2012,350644030,
UNFPA,,2013,368183840,
UNFPA,,2014,352989800,
UNFPA,,2015,360872830,
UNFPA,,2016,300242430,
UNFPA,,2017,245163060,
UNFPA,,2018,231430100,
UNFPA,,2019,463407170,
UNFPA,,2020,463948480,
UNFPA,,2021,335700860,
UNFPA,,2022,543746300,
UNFPA,,2023,497534430,
UNFPA,,2024,508576100,
UNHCR,,1969,52884430,
UNHCR,,1970,54146000,
UNHCR,,1971,57521176,
UNHCR,,1972,130043760,
UNHCR,,1973,134722990,
UNHCR,,1974,169094380,
UNHCR,,1975,276371360,
UNHCR,,1976,361870370,
UNHCR,,1977,372417700,
UNHCR,,1978,386707870,
UNHCR,,1979,687225000,
UNHCR,,1980,1175253100,
UNHCR,,1981,1133957200,
UNHCR,,1982,973537150,
UNHCR,,1983,942142100,
UNHCR,,1984,1069887360,
UNHCR,,1985,1126211600,
UNHCR,,1986,855342900,
UNHCR,,1987,758120600,
UNHCR,,1988,845380600,
UNHCR,,1989,861415360,
UNHCR,,1990,747308400,
UNHCR,,1991,1210716500,
UNHCR,,1992,1510263000,
UNHCR,,1993,1886204700,
UNHCR,,1994,1492384500,
UNHCR,,1995,1119543600,
UNHCR,,1996,382591140,
UNHCR,,1997,377232930,
UNHCR,,1998,346374370,
UNHCR,,1999,365927700,
UNHCR,,2000,739421400,
UNHCR,,2001,867901060,
UNHCR,,2002,976961150,
UNHCR,,2003,733241600,
UNHCR,,2004,440340600,
UNHCR,,2005,277623870,
UNHCR,,2006,220206190,
UNHCR,,2007,286610720,
UNHCR,,2008,295523700,
UNHCR,,2009,331832060,
UNHCR,,2010,428584160,
UNHCR,,2011,454687840,
UNHCR,,2012,447070820,
UNHCR,,2013,434510900,
UNHCR,,2014,499723650,
UNHCR,,2015,530725700,
UNHCR,,2016,585505600,
UNHCR,,2017,594463300,
UNHCR,,2018,524610000,
UNHCR,,2019,744110900,
UNHCR,,2020,679558800,
UNHCR,,2021,607374850,
UNHCR,,2022,660547600,
UNHCR,,2023,798833000,
UNHCR,,2024,140982620,
UNICEF,,1969,279070270,
UNICEF,,1970,346027870,
UNICEF,,1971,280103100,
UNICEF,,1972,326824320,
UNICEF,,1973,283812400,
UNICEF,,1974,467018240,
UNICEF,,1975,511063550,
UNICEF,,1976,393860830,
UNICEF,,1977,458846180,
UNICEF,,1978,525597730,
UNICEF,,1979,577405200,
UNICEF,,1980,624063800,
UNICEF,,1981,556048700,
UNICEF,,1982,543948600,
UNICEF,,1983,652252200,
UNICEF,,1984,659002240,
UNICEF,,1985,750448500,
UNICEF,,1986,720864960,
UNICEF,,1987,695690700,
UNICEF,,1988,708829760,
UNICEF,,1989,881988500,
UNICEF,,1990,937413300,
UNICEF,,1991,905862400,
UNICEF,,1992,1085221200,
UNICEF,,1993,1196286000,
UNICEF,,1994,1137090800,
UNICEF,,1995,1044630850,
UNICEF,,1996,921717250,
UNICEF,,1997,742185150,
UNICEF,,1998,710567600,
UNICEF,,1999,816746560,
UNICEF,,2000,865270460,
UNICEF,,2001,956603200,
UNICEF,,2002,874220600,
UNICEF,,2003,863655200,
UNICEF,,2004,825808600,
UNICEF,,2005,878009860,
UNICEF,,2006,880908500,
UNICEF,,2007,1092821000,
UNICEF,,2008,1047294800,
UNICEF,,2009,1198240300,
UNICEF,,2010,1141737500,
UNICEF,,2011,1122234400,
UNICEF,,2012,1202581400,
UNICEF,,2013,1280262800,
UNICEF,,2014,1348245900,
UNICEF,,2015,1607190300,
UNICEF,,2016,1676129500,
UNICEF,,2017,1729614700,
UNICEF,,2018,1632417000,
UNICEF,,2019,1124391600,
UNICEF,,2020,1042988540,
UNICEF,,2021,908698430,
UNICEF,,2022,940718340,
UNICEF,,2023,897828030,
UNICEF,,2024,868412540,
UNRWA,,1969,301214370,
UNRWA,,1970,328093280,
UNRWA,,1971,263302060,
UNRWA,,1972,258227260,
UNRWA,,1973,269998530,
UNRWA,,1974,351336480,
UNRWA,,1975,395126880,
UNRWA,,1976,390899500,
UNRWA,,1977,430706660,
UNRWA,,1978,343726400,
UNRWA,,1979,373826720,
UNRWA,,1980,397064830,
UNRWA,,1981,441843000,
UNRWA,,1982,624338500,
UNRWA,,1983,558899200,
UNRWA,,1984,515980160,
UNRWA,,1985,504780060,
UNRWA,,1986,412500960,
UNRWA,,1987,395516260,
UNRWA,,1988,409528350,
UNRWA,,1989,466389500,
UNRWA,,1990,469468960,
UNRWA,,1991,474450240,
UNRWA,,1992,447768260,
UNRWA,,1993,448620320,
UNRWA,,1994,469611800,
UNRWA,,1995,443254980,
UNRWA,,1996,322326720,
UNRWA,,1997,380729300,
UNRWA,,1998,437760540,
UNRWA,,1999,413821000,
UNRWA,,2000,451543360,
UNRWA,,2001,572604350,
UNRWA,,2002,604846460,
UNRWA,,2003,590188860,
UNRWA,,2004,570172400,
UNRWA,,2005,432494850,
UNRWA,,2006,444802880,
UNRWA,,2007,432672930,
UNRWA,,2008,503560930,
UNRWA,,2009,521592220,
UNRWA,,2010,594980400,
UNRWA,,2011,626326400,
UNRWA,,2012,704002000,
UNRWA,,2013,560683650,
UNRWA,,2014,707925500,
UNRWA,,2015,888582600,
UNRWA,,2016,833876350,
UNRWA,,2017,1017702700,
UNRWA,,2018,830571300,
UNRWA,,2019,850872300,
UNRWA,,2020,836019700,
UNRWA,,2021,739973570,
UNRWA,,2022,892405570,
UNRWA,,2023,1460546400,
UNRWA,,2024,1285173900,
UNTA,,1969,269029820,
UNTA,,1970,362524930,
UNTA,,1971,282091040,
UNTA,,1972,280317860,
UNTA,,1973,244179140,
UNTA,,1974,320749760,
UNTA,,1975,277176770,
UNTA,,1976,300772830,
UNTA,,1977,339073820,
UNTA,,1978,358001280,
UNTA,,1979,319493340,
UNTA,,1980,88360340,
UNTA,,1981,544340000,
UNTA,,1982,519927420,
UNTA,,1983,671489860,
UNTA,,1984,586169400,
UNTA,,1985,795762100,
UNTA,,1986,561043800,
UNTA,,1987,599223740,
UNTA,,1988,476136350,
UNTA,,1989,429009380,
UNTA,,1990,369794700,
UNTA,,1991,435692860,
UNTA,,1992,345082100,
UNTA,,1993,510233900,
UNTA,,1994,390698880,
UNTA,,1995,733122000,
UNTA,,1996,353690880,
UNTA,,1997,627440600,
UNTA,,1998,414359420,
UNTA,,1999,619892300,
UNTA,,2000,682254140,
UNTA,,2001,653992960,
UNTA,,2002,718906750,
UNTA,,2003,691165630,
UNTA,,2004,551165800,
UNTA,,2005,716357000,
UNTA,,2006,443415170,
UNTA,,2007,514241900,
UNTA,,2008,686685630,
United Arab Emirates,ARE,1970,3491082,
United Arab Emirates,ARE,1971,638183700,
United Arab Emirates,ARE,1972,655508900,
United Arab Emirates,ARE,1973,3209240300,
United Arab Emirates,ARE,1974,4889402400,
United Arab Emirates,ARE,1975,8044609500,
United Arab Emirates,ARE,1976,9217660000,
United Arab Emirates,ARE,1977,6604958700,
United Arab Emirates,ARE,1978,5487638000,
United Arab Emirates,ARE,1979,4935742500,
United Arab Emirates,ARE,1980,5630871000,
United Arab Emirates,ARE,1981,4308664000,
United Arab Emirates,ARE,1982,2717535200,
United Arab Emirates,ARE,1983,1608729900,
United Arab Emirates,ARE,1984,871080640,
United Arab Emirates,ARE,1985,984748100,
United Arab Emirates,ARE,1986,623384400,
United Arab Emirates,ARE,1987,632040400,
United Arab Emirates,ARE,1988,179992380,
United Arab Emirates,ARE,1989,565876350,
United Arab Emirates,ARE,1990,3970394000,
United Arab Emirates,ARE,1991,2376285400,
United Arab Emirates,ARE,1992,847303200,
United Arab Emirates,ARE,1993,902786000,
United Arab Emirates,ARE,1994,517998050,
United Arab Emirates,ARE,1995,308569800,
United Arab Emirates,ARE,1996,414976260,
United Arab Emirates,ARE,1997,884250750,
United Arab Emirates,ARE,1998,1380326500,
United Arab Emirates,ARE,1999,849968000,
United Arab Emirates,ARE,2000,599355600,
United Arab Emirates,ARE,2001,776267140,
United Arab Emirates,ARE,2002,860633900,
United Arab Emirates,ARE,2003,1271199100,
United Arab Emirates,ARE,2004,615897540,
United Arab Emirates,ARE,2005,629798800,
United Arab Emirates,ARE,2006,936333950,
United Arab Emirates,ARE,2007,2701799700,
United Arab Emirates,ARE,2008,1346990100,
United Arab Emirates,ARE,2009,1044254500,
United Arab Emirates,ARE,2010,451795140,
United Arab Emirates,ARE,2011,739509060,
United Arab Emirates,ARE,2012,800850700,
United Arab Emirates,ARE,2013,5622967300,
United Arab Emirates,ARE,2014,5288225000,
United Arab Emirates,ARE,2015,5047074000,
United Arab Emirates,ARE,2016,4935650300,
United Arab Emirates,ARE,2017,4509718000,
United Arab Emirates,ARE,2018,4502075400,
United Arab Emirates,ARE,2019,2769259500,
United Arab Emirates,ARE,2020,1912291200,
United Arab Emirates,ARE,2021,1320634100,
United Arab Emirates,ARE,2022,1635292400,
United Arab Emirates,ARE,2023,1959151900,
United Arab Emirates,ARE,2024,2101421200,
United Kingdom,GBR,1960,4676611600,
United Kingdom,GBR,1961,5070124500,
United Kingdom,GBR,1962,4501249500,
United Kingdom,GBR,1963,4378344400,
United Kingdom,GBR,1964,5045138000,
United Kingdom,GBR,1965,4550766000,
United Kingdom,GBR,1966,4453467000,
United Kingdom,GBR,1967,4428952600,
United Kingdom,GBR,1968,4153254400,
United Kingdom,GBR,1969,4470637600,
United Kingdom,GBR,1970,4106224600,
United Kingdom,GBR,1971,4801028600,
United Kingdom,GBR,1972,4720999000,
United Kingdom,GBR,1973,4264379000,
United Kingdom,GBR,1974,4662816300,
United Kingdom,GBR,1975,4490238000,
United Kingdom,GBR,1976,4686859300,
United Kingdom,GBR,1977,5338483700,
United Kingdom,GBR,1978,5708792300,
United Kingdom,GBR,1979,6648009000,
United Kingdom,GBR,1980,4336358400,
United Kingdom,GBR,1981,5275871700,
United Kingdom,GBR,1982,4616557000,
United Kingdom,GBR,1983,4507723000,
United Kingdom,GBR,1984,4332505600,
United Kingdom,GBR,1985,4560639500,
United Kingdom,GBR,1986,4339766300,
United Kingdom,GBR,1987,3971370200,
United Kingdom,GBR,1988,4861536000,
United Kingdom,GBR,1989,4787225000,
United Kingdom,GBR,1990,4142489300,
United Kingdom,GBR,1991,4741773000,
United Kingdom,GBR,1992,4674453000,
United Kingdom,GBR,1993,4776889300,
United Kingdom,GBR,1994,5037007000,
United Kingdom,GBR,1995,4768449000,
United Kingdom,GBR,1996,4625887700,
United Kingdom,GBR,1997,4737138700,
United Kingdom,GBR,1998,5203983400,
United Kingdom,GBR,1999,4661507600,
United Kingdom,GBR,2000,6472574000,
United Kingdom,GBR,2001,6798173700,
United Kingdom,GBR,2002,6898361000,
United Kingdom,GBR,2003,7864467500,
United Kingdom,GBR,2004,8623399000,
United Kingdom,GBR,2005,11507327000,
United Kingdom,GBR,2006,12790600000,
United Kingdom,GBR,2007,9093130000,
United Kingdom,GBR,2008,11354822000,
United Kingdom,GBR,2009,12663722000,
United Kingdom,GBR,2010,14586066000,
United Kingdom,GBR,2011,14571252000,
United Kingdom,GBR,2012,14579806000,
United Kingdom,GBR,2013,18616852000,
United Kingdom,GBR,2014,18808467000,
United Kingdom,GBR,2015,19391894000,
United Kingdom,GBR,2016,20951505000,
United Kingdom,GBR,2017,21606562000,
United Kingdom,GBR,2018,21998658000,
United Kingdom,GBR,2019,22392144000,
United Kingdom,GBR,2020,21125777000,
United Kingdom,GBR,2021,16642467000,
United Kingdom,GBR,2022,17052463000,
United Kingdom,GBR,2023,18615650000,
United Kingdom,GBR,2024,15394976000,
United Nations,,1960,958778900,
United Nations,,1961,1290708100,
United Nations,,1962,1344805800,
United Nations,,1963,1643981600,
United Nations,,1964,1687663500,
United Nations,,1965,1478683100,
United Nations,,1966,1847160300,
United Nations,,1967,1676426000,
United Nations,,1968,1678430200,
United Nations,,1969,2515346200,
United Nations,,1970,3195914800,
United Nations,,1971,3331803400,
United Nations,,1972,3274696000,
United Nations,,1973,3154939000,
United Nations,,1974,3558286300,
United Nations,,1975,4730609000,
United Nations,,1976,3958636500,
United Nations,,1977,4317870000,
United Nations,,1978,4218931200,
United Nations,,1979,5246038500,
United Nations,,1980,5833857000,
United Nations,,1981,6663446500,
United Nations,,1982,6722000400,
United Nations,,1983,6833319400,
United Nations,,1984,7051540000,
United Nations,,1985,8057488400,
United Nations,,1986,6541942300,
United Nations,,1987,6220924400,
United Nations,,1988,6028832000,
United Nations,,1989,6179251700,
United Nations,,1990,6163774000,
United Nations,,1991,6964434000,
United Nations,,1992,7160326000,
United Nations,,1993,7620955000,
United Nations,,1994,6659284000,
United Nations,,1995,5773714400,
United Nations,,1996,3741347800,
United Nations,,1997,3967779800,
United Nations,,1998,3704835000,
United Nations,,1999,3921388000,
United Nations,,2000,4274874600,
United Nations,,2001,4865297000,
United Nations,,2002,4846559700,
United Nations,,2003,4306953700,
United Nations,,2004,3641249300,
United Nations,,2005,4127978000,
United Nations,,2006,3906850600,
United Nations,,2007,3981217000,
United Nations,,2008,4407304700,
United Nations,,2009,4585826300,
United Nations,,2010,4573500400,
United Nations,,2011,4660143000,
United Nations,,2012,5135811600,
United Nations,,2013,5629465000,
United Nations,,2014,5170891300,
United Nations,,2015,6253312000,
United Nations,,2016,6064872400,
United Nations,,2017,7095723500,
United Nations,,2018,6443831000,
United Nations,,2019,7101505500,
United Nations,,2020,6829425700,
United Nations,,2021,6654287400,
United Nations,,2022,7560300000,
United Nations,,2023,7637110000,
United Nations,,2024,6139122000,
United Nations Conference on Trade and Development (UNCTAD),,2020,2544060,
United Nations Conference on Trade and Development (UNCTAD),,2021,1828697,
United Nations Conference on Trade and Development (UNCTAD),,2022,5023487,
United Nations Conference on Trade and Development (UNCTAD),,2023,3644128,
United Nations Conference on Trade and Development (UNCTAD),,2024,4273208,
United Nations Industrial Development Organization (UNIDO),,2020,3945589,
United Nations Industrial Development Organization (UNIDO),,2021,4458331,
United Nations Industrial Development Organization (UNIDO),,2022,5577165,
United Nations Industrial Development Organization (UNIDO),,2023,6193158,
United Nations Industrial Development Organization (UNIDO),,2024,6108313,
United States,USA,1960,21777390000,
United States,USA,1961,23627575000,
United States,USA,1962,25589512000,
United States,USA,1963,27306494000,
United States,USA,1964,27058084000,
United States,USA,1965,29676567000,
United States,USA,1966,27411770000,
United States,USA,1967,22986328000,
United States,USA,1968,25668766000,
United States,USA,1969,21526163000,
United States,USA,1970,19096218000,
United States,USA,1971,17939739000,
United States,USA,1972,21871288000,
United States,USA,1973,13909627000,
United States,USA,1974,17654055000,
United States,USA,1975,18301178000,
United States,USA,1976,18177384000,
United States,USA,1977,18377918000,
United States,USA,1978,20768715000,
United States,USA,1979,15860882000,
United States,USA,1980,22168040000,
United States,USA,1981,16404574000,
United States,USA,1982,21916463000,
United States,USA,1983,20779244000,
United States,USA,1984,21619202000,
United States,USA,1985,22621220000,
United States,USA,1986,22554327000,
United States,USA,1987,20975820000,
United States,USA,1988,22541740000,
United States,USA,1989,16420861000,
United States,USA,1990,23492018000,
United States,USA,1991,22460300000,
United States,USA,1992,22831475000,
United States,USA,1993,19281880000,
United States,USA,1994,18513248000,
United States,USA,1995,13456857000,
United States,USA,1996,16820463000,
United States,USA,1997,12128604000,
United States,USA,1998,15320932000,
United States,USA,1999,15724920000,
United States,USA,2000,16737901000,
United States,USA,2001,18793843000,
United States,USA,2002,21519108000,
United States,USA,2003,25912758000,
United States,USA,2004,30468872000,
United States,USA,2005,41881150000,
United States,USA,2006,34225105000,
United States,USA,2007,30851000000,
United States,USA,2008,36727750000,
United States,USA,2009,39808900000,
United States,USA,2010,40456390000,
United States,USA,2011,41389343000,
United States,USA,2012,40220897000,
United States,USA,2013,40340386000,
United States,USA,2014,41969025000,
United States,USA,2015,38932038000,
United States,USA,2016,42841395000,
United States,USA,2017,42467960000,
United States,USA,2018,40387363000,
United States,USA,2019,38783377000,
United States,USA,2020,41078223000,
United States,USA,2021,52748853000,
United States,USA,2022,62499540000,
United States,USA,2023,64461910000,
United States,USA,2024,63811260000,
Van Leer Foundation,,2017,17245652,
Van Leer Foundation,,2018,16204763,
Van Leer Foundation,,2019,16512665,
Van Leer Foundation,,2020,15855387,
Van Leer Foundation,,2021,14655959,
Van Leer Foundation,,2022,12647691,
Van Leer Foundation,,2023,9863676,
WFP,,1969,444875700,
WFP,,1970,735591600,
WFP,,1971,917389060,
WFP,,1972,728233400,
WFP,,1973,911213630,
WFP,,1974,1007627260,
WFP,,1975,1665718400,
WFP,,1976,1119510900,
WFP,,1977,1313081100,
WFP,,1978,1290166300,
WFP,,1979,1445366300,
WFP,,1980,1364170100,
WFP,,1981,1407775900,
WFP,,1982,1581967900,
WFP,,1983,1668536200,
WFP,,1984,1832123300,
WFP,,1985,2099375500,
WFP,,1986,1434277200,
WFP,,1987,1372160400,
WFP,,1988,1558183800,
WFP,,1989,1340159400,
WFP,,1990,1496751200,
WFP,,1991,2055340000,
WFP,,1992,2305162000,
WFP,,1993,2229673000,
WFP,,1994,1988643000,
WFP,,1995,1390504300,
WFP,,1996,505066560,
WFP,,1997,402632220,
WFP,,1998,395952930,
WFP,,1999,512501340,
WFP,,2000,535222530,
WFP,,2001,604168770,
WFP,,2002,540706900,
WFP,,2003,437268900,
WFP,,2004,320952260,
WFP,,2005,685004800,
WFP,,2006,566432500,
WFP,,2007,259265140,
WFP,,2008,336611840,
WFP,,2009,320293340,
WFP,,2010,265812560,
WFP,,2011,347099460,
WFP,,2012,373867900,
WFP,,2013,378586940,
WFP,,2014,321227740,
WFP,,2015,329898800,
WFP,,2016,356524480,
WFP,,2017,325470000,
WFP,,2018,203102690,
WFP,,2019,338543140,
WFP,,2020,347553920,
WFP,,2021,349691100,
WFP,,2022,383460830,
WFP,,2023,428225600,
WFP,,2024,375293280,
WHO Strategic Preparedness and Response Plan,,2021,162730940,
WHO Strategic Preparedness and Response Plan,,2022,61841960,
WHO Strategic Preparedness and Response Plan,,2023,25182672,
WTO - International Trade Centre,,2020,55758330,
WTO - International Trade Centre,,2021,53190656,
WTO - International Trade Centre,,2022,52826600,
WTO - International Trade Centre,,2023,40682624,
WTO - International Trade Centre,,2024,53225052,
Wellcome Trust,,2017,303621150,
Wellcome Trust,,2018,311397920,
Wellcome Trust,,2019,378434530,
Wellcome Trust,,2020,583376830,
Wellcome Trust,,2021,521239460,
Wellcome Trust,,2022,428908380,
Wellcome Trust,,2023,887722000,
Wellcome Trust,,2024,533045730,
William and Flora Hewlett Foundation,,2017,226401000,
William and Flora Hewlett Foundation,,2018,249855780,
William and Flora Hewlett Foundation,,2019,145049970,
William and Flora Hewlett Foundation,,2020,186200900,
William and Flora Hewlett Foundation,,2021,204096900,
William and Flora Hewlett Foundation,,2022,204646450,
William and Flora Hewlett Foundation,,2023,181459170,
William and Flora Hewlett Foundation,,2024,149252850,
World Bank Group,,1960,-240355020,
World Bank Group,,1961,-349699260,
World Bank Group,,1962,-266635380,
World Bank Group,,1963,305909730,
World Bank Group,,1964,776646300,
World Bank Group,,1965,2081566500,
World Bank Group,,1966,2036855700,
World Bank Group,,1967,2700777500,
World Bank Group,,1968,931653100,
World Bank Group,,1969,1717884500,
World Bank Group,,1970,1114339800,
World Bank Group,,1971,1844204500,
World Bank Group,,1972,1724460400,
World Bank Group,,1973,3112191500,
World Bank Group,,1974,4113869000,
World Bank Group,,1975,4373215000,
World Bank Group,,1976,5168001500,
World Bank Group,,1977,4199820800,
World Bank Group,,1978,3396855300,
World Bank Group,,1979,3801276200,
World Bank Group,,1980,4174089500,
World Bank Group,,1981,5208264000,
World Bank Group,,1982,6441008000,
World Bank Group,,1983,6314644000,
World Bank Group,,1984,6831449600,
World Bank Group,,1985,7092460500,
World Bank Group,,1986,7365242000,
World Bank Group,,1987,6732262400,
World Bank Group,,1988,6327317000,
World Bank Group,,1989,5747814000,
World Bank Group,,1990,6277988000,
World Bank Group,,1991,6656654300,
World Bank Group,,1992,7056147500,
World Bank Group,,1993,6698970000,
World Bank Group,,1994,8001275000,
World Bank Group,,1995,6269400600,
World Bank Group,,1996,7790538000,
World Bank Group,,1997,7589403600,
World Bank Group,,1998,7083127000,
World Bank Group,,1999,6524090400,
World Bank Group,,2000,5876879400,
World Bank Group,,2001,7872358000,
World Bank Group,,2002,9505157000,
World Bank Group,,2003,7558426600,
World Bank Group,,2004,9595815000,
World Bank Group,,2005,8408566300,
World Bank Group,,2006,7527171000,
World Bank Group,,2007,9316659000,
World Bank Group,,2008,6711488500,
World Bank Group,,2009,10199555000,
World Bank Group,,2011,7262974500,
World Bank Group,,2012,7301221000,
World Bank Group,,2013,8506603500,
World Bank Group,,2014,10681953000,
World Bank Group,,2015,11582767000,
World Bank Group,,2016,9432559000,
World Bank Group,,2017,10842584000,
World Bank Group,,2018,11917293000,
World Bank Group,,2019,14092230000,
World Bank Group,,2020,16726742000,
World Bank Group,,2021,13799344000,
World Bank Group,,2022,17104168000,
World Bank Group,,2023,17987367000,
World Bank Group,,2024,18080442000,
World Diabetes Foundation,,2016,14919065,
World Diabetes Foundation,,2017,15830571,
World Diabetes Foundation,,2018,11587826,
World Diabetes Foundation,,2019,17908538,
World Diabetes Foundation,,2020,26020810,
World Diabetes Foundation,,2021,25230998,
World Diabetes Foundation,,2022,10501443,
World Diabetes Foundation,,2023,20145702,
World Diabetes Foundation,,2024,18947476,
World Health Organization (WHO),,2009,481835500,
World Health Organization (WHO),,2010,399848830,
World Health Organization (WHO),,2011,465938080,
World Health Organization (WHO),,2012,418841950,
World Health Organization (WHO),,2013,493100480,
World Health Organization (WHO),,2014,490242750,
World Health Organization (WHO),,2015,764845300,
World Health Organization (WHO),,2016,621864600,
World Health Organization (WHO),,2017,604474400,
World Health Organization (WHO),,2018,567882200,
World Health Organization (WHO),,2019,609279600,
World Health Organization (WHO),,2020,296893380,
World Health Organization (WHO),,2021,620551800,
World Health Organization (WHO),,2022,488090240,
World Health Organization (WHO),,2023,633541900,
World Health Organization (WHO),,2024,567149800,
World Organization for Animal Health,,2021,11636835,
World Organization for Animal Health,,2022,11758403,
World Organization for Animal Health,,2023,16132326,
World Organization for Animal Health,,2024,13363301,
World Tourism Organization (UNWTO),,2016,15130459,
World Tourism Organization (UNWTO),,2017,14473286,
World Tourism Organization (UNWTO),,2018,10668394,
World Tourism Organization (UNWTO),,2019,9243262,
World Tourism Organization (UNWTO),,2020,8668026,
World Tourism Organization (UNWTO),,2021,13593015,
World Tourism Organization (UNWTO),,2022,13094965,
World Tourism Organization (UNWTO),,2023,14131678,
World Tourism Organization (UNWTO),,2024,12373210,
World Trade Organization (WTO),,2024,9946475,
